wikidata	abbr	name	short	website	start_date	swiss_business_uid	buildings_count	building_flats	building_start_date	building_renovated_date	building_renovated_count	buildings_subsidized_count	buildings_rent_regulated_count	buildings_dormitory_count	buildings_sheltered_housing_count	buildings_locations	buildings_postcode	completion_buildings_start_date_percentage	completion_buildings_flats_percentage	completion_buildings_heating_percentage	completion_buildings_architect_percentage	completion_buildings_renovated_architect_percentage	completion_buildings_levels_percentage	completion_buildings_roof_levels_percentage	completion_buildings_roof_shape_percentage
	CODHA	Coopérative de l’habitat associatif					0	120	2019		0	1	0	0	0	Meyrin	1217	100	100	100	100	100	100	100	100
Q132672906		Coopérative Voisinage		https://www.cooperative-voisinage.ch/	2008-01-01T00:00:00Z	CHE-114.781.189	0	18	1991		0	0	0	0	0	Meyrin,Pully,Lausanne	1217,1009,1005	100	100	100	100	100	100	100	100
Q131314825	LSR	Logement Social Romand					85	0	2023-08		0	0	0	0	0	Neuchâtel,Lausanne,Cortaillod,Yverdon-les-Bains,Morges,Gland,Crissier,Préverenges,Palézieux,Marly,La Grande-Béroche,La Sarraz,Carrouge VD,Estavayer-le-Lac,Nyon	2002,1012,1007,1010,1004,1018,2016,1005,1400,1110,1196,1023,1028,1607,1723,2022,1315,1084,1470,1014,1260	1	0	0	0	100	33	15	9
