wikidata	abbr	name	short	dedicated_to	website	start_date	swiss_business_uid	buildings_count	building_flats	building_start_date_first	building_start_date_last	building_last_renovation_first	building_last_renovation_last	building_last_renovation_count	buildings_subsidized_count	buildings_rent_regulated_count	buildings_dormitory_count	buildings_sheltered_housing_count	buildings_locations	buildings_postcode
Q132179508		Coopérative d'habitation Les Jardins de la Paix	Les Jardins de la Paix		https://jardinsdelapaix.ch/	1990-01-01T00:00:00Z	CHE-102.428.645	7	65	1994-01-01T00:00:00.000Z				0	1	2	0	0	La Tour-de-Peilz,Vevey	1814,1800
Q133282425		Coopérative d'habitation Les Voirets			https://voirets.ch/		CHE-100.638.315	29	0					0	0	0	0	0	Plan-les-Ouates	1228
Q133285912		Coopérative d’habitation Les Voisins					CHE-390.400.007	1	7			2023-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z	1	0	0	0	0	Courtételle	2852
Q133282689		Coopérative d'habitation Maison Neuve			https://www.maison-neuve.ch/		CHE-324.445.682	2	0					0	0	0	0	0	Bernex	1233
Q133459668		Coopérative d'habitation Pan d'Ozi					CHE-239.400.334	1	0					0	0	0	0	0	Mauborget	1453
Q132179684		Coopérative d'habitation Rhône-Arve Pommier					CHE-113.799.264	1	0					0	0	0	0	0	Le Grand-Saconnex	1218
Q133282694		Coopérative d'habitation Rocher 12					CHE-102.690.462	1	0					0	0	0	0	0	La Chaux-de-Fonds	2300
Q133286063	CODHAVA	Coopérative d’Habitation Vie Alternative			https://chateaudecorcelles.ch/	1980-05-04T00:00:00Z	CHE-101.912.430	1	20					0	0	0	0	0	Corcelles-sur-Chavornay	1374
Q133460114		Coopérative d'Habitations Collectives de Lully 2				1972-01-01T00:00:00Z	CHE-100.692.533	1	0			2020-01-01T00:00:00.000Z	2020-01-01T00:00:00.000Z	1	0	0	0	0	Bernex	1233
Q131885512		Coopérative d'habitations groupées des Liaudes				1986-07-23T00:00:00Z	CHE-102.132.446	6	0	1991-01-01T00:00:00.000Z	1991-01-01T00:00:00.000Z			0	0	0	0	0	Pully	1009
Q133282702		Coopérative d'Immeuble Malpierres 11					CHE-102.587.048	1	0					0	0	0	0	0	Le Locle	2400
Q133283856		Coopérative de construction et d'habitation MOUL2			https://coopmoul2.wixsite.com/moulin	2009-01-01T00:00:00Z	CHE-114.779.005	1	8			2017-01-01T00:00:00.000Z	2017-01-01T00:00:00.000Z	1	0	0	0	0	Bioley Magnoux	1407
Q86666680	CODHA	Coopérative de l’habitat associatif			https://www.codha.ch/	1994-01-01T00:00:00Z	CHE-103.837.555	37	373	1904-01-01T00:00:00.000Z	2024-07-01T00:00:00.000Z	1997-01-01T00:00:00.000Z		5	3	1	1	0	Genève,Chêne-Bourg,Lausanne,Meyrin,Lausanne 26,Nyon,Chêne-Bougeries,Le Grand-Saconnex,Plan-les-Ouates	1205,1203,1201,1202,1225,1012,1217,1000,1260,1224,1218,1228,1018
Q132179159		Coopérative des Arts et des Ouches	C-Arts-Ouches		https://c-arts-ouches.ch/	2011-01-01T00:00:00Z	CHE-378.681.114	1	33	2023-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			0	0	0	0	0	Lausanne	1018
Q132179211		Coopérative des cheminots de la Riviera	CHERI-Riviera	railway worker	https://www.cheri-riviera.ch/		CHE-100.673.671	1	0					0	0	0	0	0	La Tour-de-Peilz	1814
Q133459653		Coopérative DomaHabitare			http://domahabitare.ch/		CHE-115.843.396	1	0					0	0	0	0	0	Sainte-Croix	1450
Q133282735	CLE	Coopérative du Logement Epalinges			https://cle-epalinges.ch/	1993-09-01T00:00:00Z	CHE-103.698.615	7	28	2000-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			0	0	0	0	0	Epalinges	1066
Q132179235	CLL	Coopérative du logement Lutry			https://cll-lutry.ch	1991-01-01T00:00:00Z	CHE-103.558.575	3	8	1996-01-01T00:00:00.000Z	2006-01-01T00:00:00.000Z			0	3	0	0	0	Lutry	1095
Q133286057		Coopérative Habitation Cheminots Renens	CHC Renens	railway worker	https://chcrenens.ch/	1950-01-01T00:00:00Z	CHE-101.727.418	6	36					0	0	0	0	0	Renens	1020
